id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160221829,2026-04-07,2026-04-07T06:29:26,run,Run,Morning Run,2451,2452,8873.79,28.0,0.641,,,,,,,,,intervals
i160221803,2026-04-08,2026-04-08T03:54:38,run,Run,Night Run,3669,3670,14902.22,57.0,0.748,,,,,,,,,intervals
i160221752,2026-04-12,2026-04-12T09:08:59,run,Run,Morning Run,3664,3670,13501.89,50.0,0.7,,,,,,,,,intervals
i160221733,2026-04-13,2026-04-13T06:35:22,run,Run,Morning Run,3482,3483,14438.89,67.0,0.832,,,,,,,,,intervals
i160221711,2026-04-14,2026-04-14T06:04:36,run,Run,Morning Run,3015,3095,11079.99,40.0,0.691,,,,,,,,,intervals
i160221686,2026-04-15,2026-04-15T04:29:35,run,Run,Morning Run,3006,3179,12892.33,69.0,0.907,,,,,,,,,intervals
i160221623,2026-04-19,2026-04-19T07:28:50,run,Run,Morning Run,2875,2965,10126.11,43.0,0.729,,,,,,,,,intervals
i160221597,2026-04-21,2026-04-21T06:17:46,run,Run,Morning Run,2748,2780,10072.94,56.0,0.852,,,,,,,,,intervals
i160221558,2026-04-23,2026-04-23T08:16:13,run,Run,Morning Run,2551,2553,10008.35,37.0,0.722,,,,,,,,,intervals
i160221520,2026-04-24,2026-04-24T07:12:31,run,Run,Anaerobic,3085,3087,11439.36,36.0,0.648,,,,,,,,,intervals
i160221491,2026-04-25,2026-04-25T16:30:36,run,Run,Afternoon Run,3906,3907,14442.04,64.0,0.768,,,,,,,,,intervals
i160221475,2026-04-27,2026-04-27T06:18:00,run,Run,Morning Run,2899,2900,10435.14,26.0,0.568,,,,,,,,,intervals
i160221461,2026-04-28,2026-04-28T04:25:57,run,Run,Morning Run,3536,3537,14086.3,56.0,0.755,,,,,,,,,intervals
i160221417,2026-05-01,2026-05-01T05:28:08,run,Run,Morning Run,3464,3501,12874.24,45.0,0.684,,,,,,,,,intervals
i160221387,2026-05-04,2026-05-04T05:10:07,run,Run,Morning Run,3181,3266,13474.77,52.0,0.764,,,,,,,,,intervals
i160221363,2026-05-06,2026-05-06T05:54:40,run,Run,Morning Run,3513,3514,12841.84,43.0,0.664,,,,,,,,,intervals
i160221324,2026-05-09,2026-05-09T11:42:03,run,Run,Lunch Run,3555,3676,14513.99,82.0,0.911,,,,,,,,,intervals
i160221310,2026-05-11,2026-05-11T06:41:42,run,Run,Morning Run,2646,2672,10095.36,32.0,0.657,,,,,,,,,intervals
i160221280,2026-05-12,2026-05-12T05:20:12,run,Run,Morning Run,2710,2711,11557.71,33.0,0.662,,,,,,,,,intervals
i160221237,2026-05-15,2026-05-15T10:23:59,run,Run,Morning Run,3323,4808,11935.25,35.0,0.615,,,,,,,,,intervals
i160221210,2026-05-16,2026-05-16T09:05:28,run,Run,Morning Run,4183,4185,15201.7,47.0,0.636,,,,,,,,,intervals
i160221183,2026-05-17,2026-05-17T07:18:41,run,Run,Morning Run,3586,3622,10836.38,35.0,0.593,,,,,,,,,intervals
i160221150,2026-05-19,2026-05-19T05:28:45,run,Run,Morning Run,3081,3082,13118.93,57.0,0.816,,,,,,,,,intervals
i160221132,2026-05-21,2026-05-21T06:20:02,run,Run,Vaporfly Test Run,2459,2472,9895.74,33.0,0.693,,,,,,,,,intervals
i160221088,2026-05-22,2026-05-22T11:10:53,run,Run,Lunch Run,2424,2425,9903.13,49.0,0.853,,,,,,,,,intervals
i160221050,2026-05-25,2026-05-25T07:22:49,run,Run,Morning Run,3300,3301,11950.09,44.0,0.693,,,,,,,,,intervals
i160221030,2026-05-27,2026-05-27T07:19:59,run,Run,Morning Run,3450,3451,13538.13,62.0,0.804,,,,,,,,,intervals
i160221012,2026-05-29,2026-05-29T08:24:03,run,Run,Morning Run,2397,2446,8025.73,27.0,0.637,,,,,,,,,intervals
i160220974,2026-05-30,2026-05-30T14:16:05,run,Run,Sieraków 2026 - Run,5329,5330,19470.73,118.0,0.893,,,,,,,,,intervals
i160220929,2026-06-01,2026-06-01T08:33:06,run,Run,Morning Run,2242,2243,8155.84,31.0,0.706,,,,,,,,,intervals
i160220913,2026-06-02,2026-06-02T09:06:59,run,Run,Fuck me dead ale gorąco,2968,2990,12699.94,72.0,0.931,,,,,,,,,intervals
i154074976,2026-06-03,2026-06-03T21:47:10,run,Run,Wroclaw - Half Marathon Wrocław Test Run,2671,2674,10224.54,45.0,0.778,,,,,,,,,intervals
